X,Y,Tip,Dimenzija,Tlak,Napomena,Slika,Datum,Ulica,k.b.,Mjesto,Podaci,Oznaka,icon_url
14.7960530918983,45.3803888198769,PH,75mm,,,,,Kendar,7,Lučice,Dwg,ZV,./0.png
14.796313647779,45.3803227599647,PH,75mm,,,,,Kendar,11,Lučice,Dwg,ZV,./0.png
14.7943756275751,45.3791334790701,PH,75mm,,,,,Kendar,1,Lučice,Dwg,PHLU 2,./0.png
14.7928920736317,45.3796328176621,PH,75mm,,,,,Lučička cesta,2,Lučice,Dwg,MI,./0.png
14.7929100197506,45.3796367279883,PH,75mm,,,,,Lučička cesta,2,Lučice,Dwg,MI,./0.png
14.7934051376655,45.3792763961423,PH,75mm,,,,,Lučička cesta,2,Lučice,Dwg,PHLU 1,./0.png
14.7961925728605,45.3775793273643,PH,75mm,,,,,Lučička cesta,,Lučice,Dwg,MI,./0.png
14.7962004511283,45.3775808130883,PH,75mm,,,,,Lučička cesta,,Lučice,Dwg,MI,./0.png
14.7971350689757,45.376261726215,PH,75mm,,,,,Lučička cesta,2,Lučice,Dwg,PHLU 8,./0.png
14.7977402803718,45.3753112374493,PH,75mm,,,,,Lučička cesta,,Lučice,Dwg,MI,./0.png
14.7978087556044,45.3752065360709,PH,75mm,,,,,Stare Lučice,,Lučice,Dwg,PHLU 9,./0.png
14.7968956052775,45.3747073934518,PH,75mm,,,,,Stare Lučice,2,Lučice,Dwg,PHLU 10,./0.png
14.7959205348997,45.3738817848696,PH,75mm,,,,,Stare Lučice,5,Lučice,Dwg,PHLU 11,./0.png
14.7953547472936,45.3729565671092,PH,75mm,,,,,Stare Lučice,7,Lučice,Dwg,PHLU 13,./0.png
14.7948297162722,45.3723158533956,PH,75mm,,,,,Stare Lučice,18,Lučice,Dwg,MI,./0.png
14.7984763008717,45.3746012467119,PH,75mm,,,,,Ograja donja,1,Lučice,,PHLU 14,./0.png
14.7975533656282,45.3719119002046,PH,75mm,,,,,Novo naselje,35,Lučice,,PHLU 17,./0.png
14.7983185058185,45.3716396136585,PH,75mm,,,,,Novo naselje,31,Ličice,Dwg,PHLU 16,./0.png
14.7984721525693,45.372757596295,PH,75mm,,,,,Ograja donja,-11,Lučice,,PHLU 15,./0.png
14.7971992807778,45.3799891162863,PH,75mm,,,,,Kendar,12,Lučice,Dwg,PHLU 4,./0.png
14.7969060656743,45.3805938862149,PH,75mm,,,,,Kendar,32,Lučice,Dwg,PHLU 5,./0.png
14.7997621682586,45.372741371912,PH,75mm,,,,,Novo naselje,17,Lučice,Dwg,PHLU 18,./0.png
14.8011560919746,45.3734257576128,PH,75mm,,,,,Novo naselje,1,Lučice,Geo,PHLU 20,./0.png
14.8003199694633,45.3736555671642,PH,75mm,,,,,Novo naselje,8,Lučice,Dwg,MI,./0.png
14.7999029657602,45.3730512917031,PH,75mm,,,,,Ograja gornja,20,Lučice,Dwg,MI,./0.png
14.7996069460371,45.3736834823229,PH,75mm,,,,,Ograja gornja,11,Lučice,Dwg,PHLU 19,./0.png
14.8010219159908,45.3749974782251,PH,75mm,,,,,Lučička cesta,3,Lučice,Dwg,PHLU 21,./0.png
14.8013089774928,45.3744320294164,PH,75mm,,,,,Lučička cesta,5,Lučice,Dwg,MI,./0.png
14.7943145250737,45.377446952218,PH,75mm,,,,,Lučička cesta (betonara),,Lučice,Dwg,PHLU 7,./0.png
14.7950149728578,45.3777279132314,PH,75mm,,,,,Lučička cesta (betonara),,Lučice,Dwg,PHLU 6,./0.png
14.7955733729115,45.3739415882893,PH,75mm,,,,,Stare Lučice,14,Lučice,Dwg,PHLU 12,./0.png
